Codigo Cliente,Mensualidad,antiguedad_meses,ti_cod,megas_cod,municipio_cod,metodo_pago_cod,n_meses_activos,n_pagos_ok,n_moras_historicas,tasa_mora_historica,es_moroso,moras_ult_3_meses,moras_ult_6_meses,racha_limpia_final,dia_prom_pago_ult12,objetivo_mora_ultimo_mes
1,100.0,30.9461,0,0,4,1,31,31,0,0.0,0,0,0,31,4.4167,0
2,100.0,85.9724,0,0,3,2,86,85,1,0.0116,1,1,1,0,15.75,1
3,80.0,84.9869,0,0,4,2,84,83,1,0.0119,1,1,1,0,15.75,1
4,100.0,85.841,0,0,3,2,86,85,1,0.0116,1,1,1,0,20.75,1
5,100.0,9.954,0,0,3,0,10,9,1,0.1,1,1,1,0,15.6,1
6,100.0,12.9763,0,0,4,0,13,13,0,0.0,0,0,0,13,13.3333,0
7,100.0,33.9685,0,0,0,0,34,33,1,0.0294,1,1,1,0,11.7,1
8,100.0,63.929,0,0,4,0,64,64,0,0.0,0,0,0,64,18.3333,0
9,100.0,65.933,0,0,4,0,66,65,1,0.0152,1,1,1,0,8.0,1
10,100.0,28.9422,2,0,4,0,29,29,0,0.0,0,0,0,29,1.5,0
11,100.0,30.9461,0,0,4,0,31,30,1,0.0323,1,1,1,0,23.8333,1
12,100.0,17.9369,0,0,4,0,18,18,0,0.0,0,0,0,18,3.6667,0
13,100.0,71.9777,1,0,4,0,72,70,2,0.0278,1,1,1,0,13.4167,1
14,100.0,65.9987,0,0,3,0,62,61,1,0.0161,1,0,0,19,6.0833,0
15,100.0,85.9067,0,0,4,0,86,84,2,0.0233,1,1,1,0,10.1667,1
16,100.0,45.7293,0,0,4,0,45,45,0,0.0,0,0,0,6,13.0909,0
17,140.0,43.9225,0,2,4,0,44,44,0,0.0,0,0,0,44,16.9167,0
18,80.0,42.7727,0,0,4,0,43,43,0,0.0,0,0,0,43,16.9167,0
19,80.0,37.0565,0,0,4,0,38,38,0,0.0,0,0,0,38,16.9167,0
20,150.0,21.3206,0,2,3,0,21,21,0,0.0,0,0,0,21,16.9167,0
21,100.0,20.9593,0,0,4,0,21,21,0,0.0,0,0,0,21,8.5833,0
22,50.0,9.954,0,0,4,0,10,10,0,0.0,0,0,0,10,11.7,0
23,100.0,12.4179,0,0,4,0,13,13,0,0.0,0,0,0,13,22.1429,0
24,100.0,10.4796,0,0,0,0,11,11,0,0.0,0,0,0,11,14.9091,0
